"","SiO2_wt","TiO2_wt","Al2O3_wt","MnO_wt","MgO_wt","CaO_wt","K2O_wt","P2O5_wt","Fe2O3_wt","Sum_wt","Index","Reading.No","Time","Type","Duration","Units","Sigma.Value","Sequence","Res","EScale","Shape.Time","SAMPLE","LOCATION","INSPECTOR","MISC","NOTE","User.Login","Flags","Bal","Bal.Error"
"1",60.061052611446,0.757104976226217,13.4350509075695,0.082607486569696,1.41034255819963,16.2803682187897,2.86179163787048,0.129319406287974,4.98236219704091,100,1,1,"01.06.07 00:54","Mining",362.84,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_01","NA","NA","NA","Bodmerton_trocken","User","NA",559992.13,1062.15
"2",59.9305430681094,0.752334336156602,13.5368144870055,0.084444037519532,1.6415937665958,16.1447230831458,2.82338023295071,0.140690395144384,4.94547659337235,100,2,2,"01.06.07 01:06","Mining",361.55,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_02","NA","NA","NA","Bodmerton_trocken","User","NA",554286.88,1080.31
"3",59.7691218717926,0.764257632700533,13.5054130056085,0.0846763841632641,1.3880859812693,16.4133109340573,2.87147845654637,0.125446855045395,5.0782088788168,100,3,3,"01.06.07 00:09","Mining",362.66,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_03","NA","NA","NA","Bodmerton_trocken","User","NA",553719.38,1070.86
"4",60.0837425794092,0.752836011026829,13.1287521710847,0.0835501660853031,1.40151741765151,16.5774171950423,2.80983439720895,0.130827827311875,5.03152223517932,100,4,4,"01.06.07 00:59","Mining",360.02,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_04","NA","NA","NA","Bodmerton_trocken","User","NA",563616.19,1061.92
"5",60.2395351324817,0.726135131318927,13.2186579517481,0.0882614242932735,1.40611906822862,16.407743112764,2.79572067283571,0.105716135348869,5.01211137098073,100,5,5,"01.06.07 01:11","Mining",361.49,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_05","NA","NA","NA","Bodmerton_trocken","User","NA",560151.38,1065.21
"6",72.6075286660034,0.490931149827994,7.20592279390605,0.224263725010658,0.613298638496066,10.1936390231985,2.26928017916335,0.875170045415119,5.51996577897892,100,6,6,"2007-06-01 01:12","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_01","NA","NA","NA","Bodenprobe","Admin","NA",669143.38,867.37
"7",71.2100795103272,0.555140120005533,7.92789967064521,0.233402173851199,0,10.4708177677415,2.60762394312013,0.403104594620951,6.59193221968828,100,7,7,"2007-06-01 01:21","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_02","NA","NA","NA","Bodenprobe","Admin","NA",683551.81,874.08
"8",67.4640328462627,0.549932570906599,6.13675531127167,0.249797334718864,0,15.200558194395,2.77183341694398,0.354219668930966,7.27287065657015,100,8,8,"2007-06-01 01:32","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_03","NA","NA","NA","Bodenprobe","Admin","NA",735902.88,724.55
"9",37.4604091506046,0.774558062369354,0,0.187736111266507,0,54.8434411200061,2.44465022444035,0,4.28920533131308,100,9,9,"2007-06-01 00:09","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_04","NA","NA","NA","Bodenprobe","Admin","NA",912779.25,691.18
"10",57.5603526533472,0.278571914965604,0.994747767306639,0.0827271210017791,0,35.6702304844331,2.74540724720673,0,2.66796281173894,100,10,10,"2007-06-01 00:18","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_05","NA","NA","NA","Bodenprobe","Admin","NA",838813.81,749.99
"11",53.7331736610482,0.200116543518365,0.648729082915511,0.0893404701942289,0,40.5515496731757,2.12727032140042,0,2.64982024774762,100,11,11,"2007-06-01 00:40","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_06","NA","NA","NA","Bodenprobe","Admin","NA",832099.25,744.14
"12",56.1490350426566,0.459028190897021,6.35860353774544,0.101680292641203,0,31.577199271843,1.74581831077117,0.0760433817460426,3.53259197169953,100,12,12,"2007-06-01 01:01","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_07","NA","NA","NA","Bodenprobe","Admin","NA",678341.31,1105.75
"13",75.087727891993,0.81081830260838,14.9711458446566,0,1.29568841825008,1.27253107589009,2.40486465331242,0.0949519896133594,4.06227182367604,100,13,13,"25.02.2017 12:32","Mining",121.63,"ppm",2,"Final","NA","NA","NA","Keramik_01","NA","NA","NA","Keramik","Admin","NA",599423.88,1711.69
"14",76.1501009784371,0.740921806019523,14.062854021714,0,1.01221621838749,1.46177779279333,2.30188747946623,0.0780509393772142,4.19219076380516,100,14,14,"25.02.2017 12:35","Mining",121.03,"ppm",2,"Final","NA","NA","NA","Keramik_02","NA","NA","NA","Keramik","Admin","NA",602970.19,1702.47
"15",77.2718319105524,0.579768212760657,12.6713854205432,0,2.27833451201463,1.08077384124923,2.25113353750926,0.0759035637438084,3.7908690016269,100,15,15,"25.02.2017 12:38","Mining",120.14,"ppm",2,"Final","NA","NA","NA","Keramik_03","NA","NA","NA","Keramik","Admin","NA",626523.5,1652.44
"16",69.6198253691643,0.851078901424374,11.509901197348,0.0235435069014518,1.2577668380846,6.51501774204381,3.28793867403366,3.19177131473095,3.74315645626884,100,16,16,"25.02.2017 12:41","Mining",123.27,"ppm",2,"Final","NA","NA","NA","Keramik_04","NA","NA","NA","Keramik","Admin","NA",592913.5,1680.29
"17",70.166346406092,0.737969742933793,15.128847641539,0,2.83533062716804,3.1981913629181,2.23821398502962,0.967292500529249,4.72780773379017,100,17,17,"25.02.2017 12:43","Mining",122.65,"ppm",2,"Final","NA","NA","NA","Keramik_05","NA","NA","NA","Keramik","Admin","NA",543056.44,1946.57
"18",66.0849657797722,0.72240076947656,13.5139356557855,0.0237699631424426,2.44438881940191,4.71504218999454,2.24261023732882,1.46601510745715,8.78687147764089,100,18,18,"25.02.2017 12:46","Mining",122.76,"ppm",2,"Final","NA","NA","NA","Keramik_06","NA","NA","NA","Keramik","Admin","NA",602492.63,1759.97
"19",75.5429646418847,0.749466210585045,12.8397470664789,0,0.876671461667548,1.01823727337634,2.52780185680369,0.0509918145852634,6.3941196746186,100,19,19,"25.02.2017 12:50","Mining",120.22,"ppm",2,"Final","NA","NA","NA","Keramik_07","NA","NA","NA","Keramik","Admin","NA",685054.88,1491.67
"20",74.2577722517019,0.758820163515562,14.1732131782663,0.0195539557868699,1.02026164919194,1.15758493285187,2.23525166683564,0.0699372312751145,6.30760497057483,100,20,20,"25.02.2017 12:53","Mining",121.99,"ppm",2,"Final","NA","NA","NA","Keramik_08","NA","NA","NA","Keramik","Admin","NA",628880.56,1617.63
"21",73.0586945391038,0.583129876269445,12.7536581244538,0.0222456339785977,1.96664787377014,2.05306611337856,1.90101109335937,0.172628703791866,7.48891804189443,100,21,21,"25.02.2017 12:57","Mining",120.4,"ppm",2,"Final","NA","NA","NA","Keramik_09","NA","NA","NA","Keramik","Admin","NA",638954.63,1654.27
"22",99.2018857753897,0.00809052743487062,0.465667606316888,0,0.258393373804092,0.0659627170544354,0,0,0,100,22,22,"2017-09-27 12:00","Mining",360.95,"ppm",2,"Final","NA","NA","NA","Silex_01","NA","NA","NA","Silex","User","NA",462827.06,942.01
"23",99.4454702256569,0.00870863943424368,0.486629768754513,0,0,0.0591913661543533,0,0,0,100,23,23,"2017-09-27 13:16","Mining",361.41,"ppm",2,"Final","NA","NA","NA","Silex_02","NA","NA","NA","Silex","User","NA",464804.75,912.25
"24",99.2518702685842,0.00918036413939013,0.467885442853467,0,0.210483083263471,0.0529845496444112,0,0,0.00759629151505246,100,24,24,"2017-09-27 13:25","Mining",362.59,"ppm",2,"Final","NA","NA","NA","Silex_03","NA","NA","NA","Silex","User","NA",461717.94,918.37
"25",98.2143001407492,0.0338364615748525,1.08799402705094,0,0.429903285148964,0.137361353606339,0,0.0489961254626415,0.0476086064070675,100,25,25,"2017-09-27 13:34","Mining",360.57,"ppm",2,"Final","NA","NA","NA","Silex_04","NA","NA","NA","Silex","User","NA",480194.16,917.91
"26",98.5620491234151,0.0270441222656747,0.91364793924363,0,0.279094317851184,0.114782631220931,0,0.0378360344331215,0.0655458315703927,100,26,26,"2017-09-27 13:42","Mining",362.13,"ppm",2,"Final","NA","NA","NA","Silex_05","NA","NA","NA","Silex","User","NA",505991.09,907.7
"27",96.894122134535,0.0365061216358811,0.833170587917376,0.00621754330948837,0,0.098837110509708,0,0.0452060241397034,2.08594047795285,100,27,27,"2017-09-27 13:50","Mining",361.66,"ppm",2,"Final","NA","NA","NA","Silex_06","NA","NA","NA","Silex","User","NA",480111.69,922.26
"28",89.3540985991553,0.2130473692673,2.45618677213733,0.0878419896517029,1.08895207213497,3.41363018741231,0.0289811343032749,0.118427344385865,3.23883453155189,100,28,28,"2017-09-27 14:00","Mining",360.78,"ppm",2,"Final","NA","NA","NA","Silex_07","NA","NA","NA","Silex","User","NA",465706.91,961.9
"29",88.109309592438,0.190760266252308,2.24866192844543,0.111148690232654,1.18421994799872,4.19195663037202,0.0342695312061016,0.0965826896611885,3.83309072339363,100,29,29,"2017-09-27 14:07","Mining",361.41,"ppm",2,"Final","NA","NA","NA","Silex_08","NA","NA","NA","Silex","User","NA",488996.28,982.34
"30",88.4140920354285,0.165797861095583,3.08146187862561,0.0721830954463926,1.56129914912814,2.55668916679347,0.10417085438384,0.10159293331244,3.94271302578599,100,30,30,"2017-09-27 14:14","Mining",362,"ppm",2,"Final","NA","NA","NA","Silex_09","NA","NA","NA","Silex","User","NA",448937.22,1024.74
